,Frequency,Angle of attack,Chord length,Free-stream velocity,Section side displacement thickness
0,0.1919191919191919,0.23873873873873874,0.7272727272727271,0.1994949494949496,0.09899236032962104
1,0.30808080808080807,0.0,0.9999999999999999,1.0,0.039004721514947494
2,0.3939393939393939,0.18918918918918923,0.0909090909090909,1.0,0.01770706873007283
3,0.0707070707070707,0.5045045045045046,0.0909090909090909,1.0,0.23566923558718167
4,0.1919191919191919,0.7837837837837838,0.0,0.0,0.29757342009354226
5,0.09090909090909091,0.5720720720720721,0.0,0.1994949494949496,0.21762598702189315
6,0.30808080808080807,0.13513513513513514,0.9999999999999999,0.601010101010101,0.07109453652088313
7,0.0707070707070707,0.0,0.9999999999999999,1.0,0.039004721514947494
8,0.09090909090909091,0.1801801801801802,0.7272727272727271,0.0,0.08084723386329035
9,0.021717171717171715,1.0,0.0,0.1994949494949496,0.3878965399058497
10,0.14898989898989898,0.1801801801801802,0.9999999999999999,0.1994949494949496,0.09301190344153894
11,0.14898989898989898,0.1801801801801802,0.7272727272727271,0.0,0.08084723386329035
12,0.24242424242424243,0.24324324324324328,0.45454545454545453,0.0,0.08367533681506376
13,0.0707070707070707,0.21621621621621623,0.0,0.1994949494949496,0.0087362110157144
14,0.11616161616161617,0.7837837837837838,0.0,0.0,0.29757342009354226
15,0.1919191919191919,0.13513513513513514,0.9999999999999999,1.0,0.06648072599398959
16,0.24242424242424243,0.12162162162162164,0.45454545454545453,1.0,0.03512853457275701
17,0.09090909090909091,0.0,0.0,0.1994949494949496,0.0004789123260159024
18,0.1919191919191919,0.24324324324324328,0.45454545454545453,0.1994949494949496,0.07670333730973182
19,0.0404040404040404,0.5045045045045046,0.0909090909090909,1.0,0.23566923558718167
20,0.0101010101010101,0.37837837837837845,0.0909090909090909,0.1994949494949496,0.09070077481332815
21,0.021717171717171715,0.5540540540540542,0.2727272727272727,0.0,0.714953907231259
22,0.6212121212121212,0.1801801801801802,0.7272727272727271,1.0,0.06214979471516749
23,0.0707070707070707,0.1801801801801802,0.7272727272727271,0.1994949494949496,0.07476782957216557
24,0.0303030303030303,0.13513513513513514,0.9999999999999999,0.1994949494949496,0.07854989581390083
25,0.05303030303030304,0.7837837837837838,0.0,0.601010101010101,0.27874066089073557
26,0.0707070707070707,0.32882882882882886,0.7272727272727271,0.1994949494949496,0.20595226204968203
27,0.1919191919191919,0.1801801801801802,0.7272727272727271,0.601010101010101,0.06697942780061403
28,1.0,0.0,0.0,0.601010101010101,0.00020010129869673168
29,0.05303030303030304,0.37837837837837845,0.0909090909090909,0.601010101010101,0.08701610453451815
30,0.0404040404040404,0.5675675675675677,0.45454545454545453,0.1994949494949496,1.0000000000000002
31,0.09090909090909091,0.6936936936936938,0.0909090909090909,1.0,0.4486457634359282
32,0.09090909090909091,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
33,0.24242424242424243,0.0,0.45454545454545453,0.0,0.029190656096785596
34,0.1919191919191919,0.0900900900900901,0.7272727272727271,0.0,0.057283099449138786
35,0.14898989898989898,0.0,0.0,0.1994949494949496,0.0004789123260159024
36,0.05303030303030304,0.0,0.0909090909090909,0.0,0.007093218693170963
37,0.0404040404040404,0.23873873873873874,0.7272727272727271,1.0,0.08263173476276361
38,0.3939393939393939,0.21621621621621623,0.0,0.0,0.009138102959013471
39,0.005808080808080807,0.1801801801801802,0.7272727272727271,0.1994949494949496,0.07476782957216557
40,0.0707070707070707,0.0,0.0909090909090909,0.1994949494949496,0.006742558750192938
41,0.30808080808080807,0.1801801801801802,0.7272727272727271,0.601010101010101,0.06697942780061403
42,0.0707070707070707,0.6936936936936938,0.0909090909090909,0.1994949494949496,0.4802330842260637
43,0.3939393939393939,0.14864864864864866,0.2727272727272727,1.0,0.028055863842029745
44,0.3939393939393939,0.0,0.9999999999999999,1.0,0.039004721514947494
45,0.14898989898989898,0.0,0.45454545454545453,0.1994949494949496,0.02641219922876878
46,0.021717171717171715,0.12162162162162164,0.45454545454545453,1.0,0.03512853457275701
47,0.1919191919191919,0.18918918918918923,0.0909090909090909,0.1994949494949496,0.019413825241441144
